FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6646,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6645,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6644,01-04-2019 00:00:00,6,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,4,0,6,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6643,01-04-2019 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,5,0,6,6,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6642,01-04-2019 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,3,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6641,01-04-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,3,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6640,01-04-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,3,0,5,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-663f,01-04-2019 00:00:00,5,Moyen,AtmoSud,commune,84007,Avignon,2,0,5,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-663e,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-663d,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-663c,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-663b,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,3,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-663a,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6639,01-05-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,1,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6638,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6637,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,06088,Nice,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6636,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6635,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6634,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,3,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6633,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,84007,Avignon,1,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6632,01-06-2018 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6631,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,2,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6630,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-662f,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,2,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-662e,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,1,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-662d,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-662c,01-06-2019 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-662b,01-06-2019 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,4,0,6,2,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-662a,01-06-2019 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,2,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6629,01-06-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,2,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6628,01-06-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,2,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6627,01-06-2019 00:00:00,6,Médiocre,AtmoSud,commune,84007,Avignon,2,0,6,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6626,01-07-2018 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6625,01-07-2018 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,3,0,6,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6624,01-07-2018 00:00:00,7,Médiocre,AtmoSud,commune,13001,Aix-en-Provence,2,0,7,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6623,01-07-2018 00:00:00,6,Médiocre,AtmoSud,commune,13055,Marseille,3,0,6,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6622,01-07-2018 00:00:00,6,Médiocre,AtmoSud,commune,83137,Toulon,3,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6621,01-07-2018 00:00:00,8,Mauvais,AtmoSud,commune,84007,Avignon,3,0,8,3,0,#E31E25
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6620,01-07-2019 00:00:00,7,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,7,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-661f,01-07-2019 00:00:00,7,Médiocre,AtmoSud,commune,06088,Nice,4,0,7,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-661e,01-07-2019 00:00:00,6,Médiocre,AtmoSud,commune,13001,Aix-en-Provence,3,0,6,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-661d,01-07-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,2,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-661c,01-07-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,2,0,5,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-661b,01-07-2019 00:00:00,7,Médiocre,AtmoSud,commune,84007,Avignon,3,0,7,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-661a,01-08-2018 00:00:00,6,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,4,0,6,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6619,01-08-2018 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,5,0,6,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6618,01-08-2018 00:00:00,7,Médiocre,AtmoSud,commune,13001,Aix-en-Provence,3,0,7,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6617,01-08-2018 00:00:00,8,Mauvais,AtmoSud,commune,13055,Marseille,5,0,8,5,0,#E31E25
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6616,01-08-2018 00:00:00,7,Médiocre,AtmoSud,commune,83137,Toulon,5,0,7,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6615,01-08-2018 00:00:00,5,Moyen,AtmoSud,commune,84007,Avignon,1,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6614,01-08-2019 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6613,01-08-2019 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6612,01-08-2019 00:00:00,6,Médiocre,AtmoSud,commune,13001,Aix-en-Provence,2,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6611,01-08-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,2,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6610,01-08-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,2,0,5,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-660f,01-08-2019 00:00:00,6,Médiocre,AtmoSud,commune,84007,Avignon,1,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-660e,01-09-2018 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-660d,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,4,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-660c,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-660b,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-660a,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6609,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6608,01-09-2019 00:00:00,6,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6607,01-09-2019 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,5,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6606,01-09-2019 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,1,0,5,2,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6605,01-09-2019 00:00:00,6,Médiocre,AtmoSud,commune,13055,Marseille,3,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6604,01-09-2019 00:00:00,6,Médiocre,AtmoSud,commune,83137,Toulon,2,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6603,01-09-2019 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6602,01-10-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6601,01-10-2018 00:00:00,5,Moyen,AtmoSud,commune,06088,Nice,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6600,01-10-2018 00:00:00,8,Mauvais,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,8,0,#E31E25
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65ff,01-10-2018 00:00:00,8,Mauvais,AtmoSud,commune,13055,Marseille,2,0,4,8,0,#E31E25
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65fe,01-10-2018 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,2,0,4,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65fd,01-10-2018 00:00:00,5,Moyen,AtmoSud,commune,84007,Avignon,1,0,4,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65fc,01-10-2019 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65fb,01-10-2019 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,3,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65fa,01-10-2019 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,3,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f9,01-10-2019 00:00:00,3,Bon,AtmoSud,commune,13055,Marseille,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f8,01-10-2019 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,3,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f7,01-10-2019 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,3,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f6,01-11-2018 00:00:00,3,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f5,01-11-2018 00:00:00,3,Bon,AtmoSud,commune,06088,Nice,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f4,01-11-2018 00:00:00,3,Bon,AtmoSud,commune,13001,Aix-en-Provence,3,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f3,01-11-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,3,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f2,01-11-2018 00:00:00,3,Bon,AtmoSud,commune,83137,Toulon,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f1,01-11-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65f0,01-11-2019 00:00:00,3,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,1,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65ef,01-11-2019 00:00:00,3,Bon,AtmoSud,commune,06088,Nice,2,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65ee,01-11-2019 00:00:00,3,Bon,AtmoSud,commune,13001,Aix-en-Provence,1,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65ed,01-11-2019 00:00:00,3,Bon,AtmoSud,commune,13055,Marseille,1,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65ec,01-11-2019 00:00:00,3,Bon,AtmoSud,commune,83137,Toulon,1,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65eb,01-11-2019 00:00:00,2,Très bon,AtmoSud,commune,84007,Avignon,1,0,2,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65ea,01-12-2018 00:00:00,3,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65e9,01-12-2018 00:00:00,3,Bon,AtmoSud,commune,06088,Nice,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65e8,01-12-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65e7,01-12-2018 00:00:00,3,Bon,AtmoSud,commune,13055,Marseille,3,0,2,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65e6,01-12-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65e5,01-12-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,2,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65e4,01-12-2019 00:00:00,3,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,1,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-65e3,01-12-2019 00:00:00,3,Bon,AtmoSud,commune,06088,Nice,1,0,3,2,0,#8DA71E
