source,lib_zone,code_zone,type_zone,x,y,longitude,latitude,date_ech,valeur,qualif,libelle,val_no2,val_so2,val_pm10,val_o3,val_pm25,couleur,ObjectId
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-02T00:00:00.000Z,3,Bon,Atmo,1,1,3,3,0,#99E600,61
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-03T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,62
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-04T00:00:00.000Z,4,Bon,Atmo,1,1,2,4,0,#C3F001,63
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-05T00:00:00.000Z,3,Bon,Atmo,2,1,2,3,0,#99E600,64
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-06T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,65
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-07T00:00:00.000Z,4,Bon,Atmo,1,1,1,4,0,#C3F001,66
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-08T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,67
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-09T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,68
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-10T00:00:00.000Z,4,Bon,Atmo,1,1,2,4,0,#C3F001,69
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-11T00:00:00.000Z,4,Bon,Atmo,1,1,2,4,0,#C3F001,70
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-12T00:00:00.000Z,4,Bon,Atmo,2,1,2,4,0,#C3F001,71
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-13T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,72
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-14T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,73
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-15T00:00:00.000Z,3,Bon,Atmo,1,1,1,3,0,#99E600,74
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-16T00:00:00.000Z,4,Bon,Atmo,1,1,1,4,0,#C3F001,75
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-17T00:00:00.000Z,4,Bon,Atmo,1,1,1,4,0,#C3F001,76
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-18T00:00:00.000Z,3,Bon,Atmo,2,1,2,3,0,#99E600,77
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-19T00:00:00.000Z,4,Bon,Atmo,3,1,4,4,0,#C3F001,78
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-20T00:00:00.000Z,4,Bon,Atmo,2,1,4,4,0,#C3F001,79
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-21T00:00:00.000Z,4,Bon,Atmo,2,1,4,4,0,#C3F001,80
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-22T00:00:00.000Z,6,Médiocre,Atmo,3,1,6,4,0,#FED201,81
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-23T00:00:00.000Z,8,Mauvais,Atmo,2,1,8,4,0,#FE5E00,82
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-24T00:00:00.000Z,5,Moyen,Atmo,1,1,5,4,0,#FFFF00,83
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-25T00:00:00.000Z,4,Bon,Atmo,2,1,4,4,0,#C3F001,84
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-26T00:00:00.000Z,4,Bon,Atmo,2,1,4,4,0,#C3F001,85
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-27T00:00:00.000Z,6,Médiocre,Atmo,1,1,6,4,0,#FED201,86
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-28T00:00:00.000Z,6,Médiocre,Atmo,2,1,6,4,0,#FED201,87
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-29T00:00:00.000Z,4,Bon,Atmo,2,1,4,4,0,#C3F001,88
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-30T00:00:00.000Z,5,Moyen,Atmo,2,1,4,5,0,#FFFF00,89
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-31T00:00:00.000Z,5,Moyen,Atmo,2,1,4,5,0,#FFFF00,90
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-01T00:00:00.000Z,6,Médiocre,Atmo,3,1,6,5,0,#FED201,91
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-02T00:00:00.000Z,4,Bon,Atmo,3,1,4,4,0,#C3F001,92
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-03T00:00:00.000Z,4,Bon,Atmo,1,1,1,4,0,#C3F001,93
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-04T00:00:00.000Z,4,Bon,Atmo,2,1,2,4,0,#C3F001,94
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-05T00:00:00.000Z,4,Bon,Atmo,2,1,2,4,0,#C3F001,95
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-06T00:00:00.000Z,4,Bon,Atmo,2,1,4,4,0,#C3F001,96
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-07T00:00:00.000Z,4,Bon,Atmo,2,1,3,4,0,#C3F001,97
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-08T00:00:00.000Z,5,Moyen,Atmo,2,1,5,3,0,#FFFF00,98
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-09T00:00:00.000Z,5,Moyen,Atmo,2,1,5,3,0,#FFFF00,99
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-10T00:00:00.000Z,5,Moyen,Atmo,2,1,5,3,0,#FFFF00,100
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-11T00:00:00.000Z,5,Moyen,Atmo,1,1,5,5,0,#FFFF00,101
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-12T00:00:00.000Z,5,Moyen,Atmo,2,1,5,4,0,#FFFF00,102
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-13T00:00:00.000Z,4,Bon,Atmo,1,1,3,4,0,#C3F001,103
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-14T00:00:00.000Z,4,Bon,Atmo,1,1,4,4,0,#C3F001,104
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-15T00:00:00.000Z,4,Bon,Atmo,2,1,4,4,0,#C3F001,105
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-16T00:00:00.000Z,3,Bon,Atmo,2,1,3,3,0,#99E600,106
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-17T00:00:00.000Z,4,Bon,Atmo,1,1,2,4,0,#C3F001,107
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-18T00:00:00.000Z,5,Moyen,Atmo,1,1,3,5,0,#FFFF00,108
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-19T00:00:00.000Z,6,Médiocre,Atmo,2,1,3,6,0,#FED201,109
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-20T00:00:00.000Z,6,Médiocre,Atmo,1,1,3,6,0,#FED201,110
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-04-21T00:00:00.000Z,6,Médiocre,Atmo,2,1,3,6,0,#FED201,111
