X,Y,FID,valeur,source,couleur,type_zone,code_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,lib_zone,date_ech,qualif
9.447420439253605,42.699324960742608,891708,4,Qualitair Corse,#50CCAA,EPCI,2B033,3,3,2,4,0,ZAR BASTIA,2018-03-29T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891709,4,Qualitair Corse,#50CCAA,EPCI,2B096,2,1,2,4,0,ZR CORSE,2018-03-29T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891710,4,Qualitair Corse,#50CCAA,EPCI,2A004,2,1,2,4,0,ZAR AJACCIO,2018-03-28T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891711,5,Qualitair Corse,#F0E641,EPCI,2B033,2,4,1,5,0,ZAR BASTIA,2018-03-28T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891712,5,Qualitair Corse,#F0E641,EPCI,2B096,2,5,3,5,0,ZR CORSE,2018-03-28T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891713,5,Qualitair Corse,#F0E641,EPCI,2A004,5,2,5,5,0,ZAR AJACCIO,2018-03-27T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891714,5,Qualitair Corse,#F0E641,EPCI,2B033,1,3,2,5,0,ZAR BASTIA,2018-03-27T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891715,5,Qualitair Corse,#F0E641,EPCI,2B096,4,1,5,5,0,ZR CORSE,2018-03-27T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,890576,5,Qualitair Corse,#F0E641,EPCI,2B033,4,5,1,5,0,ZAR BASTIA,2019-04-29T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,890577,4,Qualitair Corse,#50CCAA,EPCI,2B096,2,2,3,4,0,ZR CORSE,2019-04-29T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,890578,4,Qualitair Corse,#50CCAA,EPCI,2A004,1,3,1,4,0,ZAR AJACCIO,2019-04-28T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,890579,5,Qualitair Corse,#F0E641,EPCI,2B033,1,1,2,5,0,ZAR BASTIA,2019-04-28T12:00:00.000Z,Moyen
