X,Y,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,couleur,xwgs84,ywgs84,x_reg,y_reg,ESRI_OID
-61.035270057347709,14.63336713046618,2020-02-07T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,3,3,#33cc33,,,711615.160990152,1618692.29507862,50
-61.035270057347709,14.63336713046618,2020-02-06T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,51
-61.035270057347709,14.63336713046618,2020-02-05T16:00:00.000Z,6,Médiocre,Madininair,UU,9B601,Fort-de-France,1,0,2,6,#ffcc00,,,711615.160990152,1618692.29507862,52
-61.035270057347709,14.63336713046618,2020-02-04T16:00:00.000Z,8,Mauvais,Madininair,UU,9B601,Fort-de-France,1,0,2,8,#ff0000,,,711615.160990152,1618692.29507862,53
-61.035270057347709,14.63336713046618,2020-02-03T16:00:00.000Z,9,Mauvais,Madininair,UU,9B601,Fort-de-France,2,0,2,9,#e60000,,,711615.160990152,1618692.29507862,54
-61.035270057347709,14.63336713046618,2020-02-02T16:00:00.000Z,9,Mauvais,Madininair,UU,9B601,Fort-de-France,1,0,2,9,#e60000,,,711615.160990152,1618692.29507862,55
-61.035270057347709,14.63336713046618,2020-02-01T16:00:00.000Z,8,Mauvais,Madininair,UU,9B601,Fort-de-France,1,0,2,8,#ff0000,,,711615.160990152,1618692.29507862,56
-61.035270057347709,14.63336713046618,2020-01-31T16:00:00.000Z,8,Mauvais,Madininair,UU,9B601,Fort-de-France,1,0,2,8,#ff0000,,,711615.160990152,1618692.29507862,57
-61.035270057347709,14.63336713046618,2020-01-30T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,1,4,#99ff33,,,711615.160990152,1618692.29507862,58
-61.035270057347709,14.63336713046618,2020-01-29T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,2,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,59
-61.035270057347709,14.63336713046618,2020-01-28T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,2,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,60
-61.035270057347709,14.63336713046618,2020-01-27T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,2,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,61
-61.035270057347709,14.63336713046618,2020-01-26T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,62
-61.035270057347709,14.63336713046618,2020-01-25T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,63
-61.035270057347709,14.63336713046618,2020-01-24T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,64
-61.035270057347709,14.63336713046618,2020-01-23T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,65
-61.035270057347709,14.63336713046618,2020-01-22T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,66
-61.035270057347709,14.63336713046618,2020-01-21T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,67
-61.035270057347709,14.63336713046618,2020-01-20T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,68
-61.035270057347709,14.63336713046618,2020-01-19T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,69
-61.035270057347709,14.63336713046618,2020-01-18T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,70
-61.035270057347709,14.63336713046618,2020-01-17T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,71
-61.035270057347709,14.63336713046618,2020-01-16T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,3,3,#33cc33,,,711615.160990152,1618692.29507862,72
-61.035270057347709,14.63336713046618,2020-01-15T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,3,3,#33cc33,,,711615.160990152,1618692.29507862,73
-61.035270057347709,14.63336713046618,2020-01-14T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,74
-61.035270057347709,14.63336713046618,2020-01-13T16:00:00.000Z,8,Mauvais,Madininair,UU,9B601,Fort-de-France,1,0,3,8,#ff0000,,,711615.160990152,1618692.29507862,75
-61.035270057347709,14.63336713046618,2020-01-12T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,3,3,#33cc33,,,711615.160990152,1618692.29507862,76
-61.035270057347709,14.63336713046618,2020-01-11T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,77
-61.035270057347709,14.63336713046618,2020-01-10T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,78
-61.035270057347709,14.63336713046618,2020-01-09T16:00:00.000Z,7,Médiocre,Madininair,UU,9B601,Fort-de-France,1,0,2,7,#ffa31a,,,711615.160990152,1618692.29507862,79
-61.035270057347709,14.63336713046618,2020-01-08T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,80
-61.035270057347709,14.63336713046618,2020-01-07T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,81
-61.035270057347709,14.63336713046618,2020-01-06T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,82
-61.035270057347709,14.63336713046618,2020-01-05T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,83
-61.035270057347709,14.63336713046618,2020-01-04T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,84
-61.035270057347709,14.63336713046618,2020-01-03T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,85
-61.035270057347709,14.63336713046618,2020-01-02T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,86
-61.035270057347709,14.63336713046618,2020-01-01T16:00:00.000Z,5,Moyen,Madininair,UU,9B601,Fort-de-France,1,0,2,5,#ffff00,,,711615.160990152,1618692.29507862,87
